Year,Grevy's Zebra_Population,African Wild Dogs_Population,Rothschild's Giraffes_Population
2016,53,15,24
2017,50,17,25
2018,49,11,25
2019,47,13,24
2020,44,12,24
2021,51,11,23
2022,53,10,29
2023,63,11,23
2024,62,8,29
2025,63,10,29
